用户编号,年龄,性别,状态,下单次数,视力,年收入,年消费,近期购买产品,已注册月,收入消费比,年龄层次,消费等级,收入等级
U067,36,女,单身,4,3,34343,94,贝尔防蓝光眼镜(高级黑),2,0.27370934397111496,千禧一代(28-38),中消费,低收入
U147,24,女,单身,4,5,51006,100,9色钻石珠光眼影盘,6,0.19605536603536838,Z世代(18-27),中消费,中收入
U149,24,男,单身,5,5,62291,200,9色钻石珠光眼影盘,6,0.32107367035366263,Z世代(18-27),高消费,高收入
U087,21,女,有朋友,2,2,22973,53,敦乐视疲劳滴眼液(13ML),2,0.2307056109345754,Z世代(18-27),低消费,低收入
U005,20,女,有朋友,4,2,25247,47,贝尔防蓝光眼镜(高级黑),3,0.18616073196815464,Z世代(18-27),低消费,低收入
U008,21,女,单身,3,3,22973,85,贝尔防蓝光眼镜(高级黑),3,0.36999956470639445,Z世代(18-27),中消费,低收入
U026,24,女,有朋友,3,2,32069,47,贝尔防蓝光眼镜(高级黑),3,0.1465589821946428,Z世代(18-27),低消费,低收入
U115,30,男,单身,4,3,56617,106,敦乐视疲劳滴眼液(13ML),3,0.18722291891128107,千禧一代(28-38),中消费,中收入
U121,33,女,有朋友,4,4,43439,170,敦乐视疲劳滴眼液(13ML),3,0.3913533921130781,千禧一代(28-38),高消费,低收入
U001,18,女,单身,3,4,19562,112,贝尔防蓝光眼镜(高级黑),4,0.572538595235661,Z世代(18-27),高消费,低收入
U003,19,男,有朋友,4,3,40699,66,贝尔防蓝光眼镜(高级黑),4,0.16216614658836828,Z世代(18-27),低消费,低收入
U006,20,男,有朋友,3,3,42973,66,贝尔防蓝光眼镜(高级黑),4,0.15358480906615782,Z世代(18-27),低消费,低收入
U007,21,男,有朋友,3,3,45247,75,贝尔防蓝光眼镜(高级黑),4,0.1657568457577298,Z世代(18-27),低消费,中收入
U011,22,女,单身,3,3,26384,85,贝尔防蓝光眼镜(高级黑),4,0.3221649484536082,Z世代(18-27),中消费,低收入
U012,22,男,有朋友,3,2,45247,66,贝尔防蓝光眼镜(高级黑),4,0.14586602426680223,Z世代(18-27),低消费,中收入
U014,22,男,单身,3,3,45247,75,贝尔防蓝光眼镜(高级黑),4,0.1657568457577298,Z世代(18-27),低消费,中收入
U017,23,男,单身,2,3,44110,103,贝尔防蓝光眼镜(高级黑),4,0.23350714123781457,Z世代(18-27),中消费,中收入
U021,23,女,单身,4,3,28658,113,贝尔防蓝光眼镜(高级黑),4,0.3943052550771164,Z世代(18-27),高消费,低收入
U025,24,女,单身,2,3,35480,113,贝尔防蓝光眼镜(高级黑),4,0.31848928974069896,Z世代(18-27),高消费,低收入
U028,25,男,有朋友,3,3,58891,75,贝尔防蓝光眼镜(高级黑),4,0.12735392504797,Z世代(18-27),低消费,中收入
U029,25,女,有朋友,2,3,35480,56,贝尔防蓝光眼镜(高级黑),4,0.15783540022547915,Z世代(18-27),低消费,低收入
U030,25,男,有朋友,2,2,83450,47,贝尔防蓝光眼镜(高级黑),4,0.05632115038945476,Z世代(18-27),低消费,高收入
U031,25,男,有朋友,3,3,99795,85,贝尔防蓝光眼镜(高级黑),4,0.0851746079462899,Z世代(18-27),中消费,高收入
U035,26,男,有朋友,3,4,54343,113,贝尔防蓝光眼镜(高级黑),4,0.2079384649356863,Z世代(18-27),高消费,中收入
U042,27,男,有朋友,3,2,55480,66,贝尔防蓝光眼镜(高级黑),4,0.11896178803172315,Z世代(18-27),低消费,中收入
U044,27,男,有朋友,2,3,55480,56,贝尔防蓝光眼镜(高级黑),4,0.10093727469358328,Z世代(18-27),低消费,中收入
U045,28,男,有朋友,2,3,81290,56,贝尔防蓝光眼镜(高级黑),4,0.0688891622585804,千禧一代(28-38),低消费,高收入
U047,28,女,单身,3,3,42302,103,贝尔防蓝光眼镜(高级黑),4,0.24348730556474873,千禧一代(28-38),中消费,低收入
U048,28,男,有朋友,3,3,64576,94,贝尔防蓝光眼镜(高级黑),4,0.1455649157581764,千禧一代(28-38),中消费,高收入
U049,28,女,单身,4,3,44576,113,贝尔防蓝光眼镜(高级黑),4,0.2534996410624551,千禧一代(28-38),高消费,中收入
U052,29,男,有朋友,2,2,56617,38,贝尔防蓝光眼镜(高级黑),4,0.06711765017574227,千禧一代(28-38),低消费,中收入
U054,30,女,有朋友,4,4,36617,141,贝尔防蓝光眼镜(高级黑),4,0.3850670453614441,千禧一代(28-38),高消费,低收入
U055,30,女,单身,3,3,44576,85,贝尔防蓝光眼镜(高级黑),4,0.19068557071069633,千禧一代(28-38),中消费,中收入
U056,31,女,有朋友,2,2,44576,47,贝尔防蓝光眼镜(高级黑),4,0.10543790380473797,千禧一代(28-38),低消费,中收入
U057,31,男,单身,2,2,55480,47,贝尔防蓝光眼镜(高级黑),4,0.08471521268925739,千禧一代(28-38),低消费,中收入
U058,32,男,单身,3,4,56617,113,贝尔防蓝光眼镜(高级黑),4,0.1995866965752336,千禧一代(28-38),高消费,中收入
U059,32,女,有朋友,4,3,42302,85,贝尔防蓝光眼镜(高级黑),4,0.20093612595149163,千禧一代(28-38),中消费,低收入
U070,38,男,有朋友,2,3,64576,56,贝尔防蓝光眼镜(高级黑),4,0.0867195242814668,千禧一代(28-38),低消费,高收入
U071,38,女,单身,2,3,42302,56,贝尔防蓝光眼镜(高级黑),4,0.13238144768568863,千禧一代(28-38),低消费,低收入
U081,19,女,单身,3,3,21836,64,敦乐视疲劳滴眼液(13ML),4,0.29309397325517494,Z世代(18-27),低消费,低收入
U082,20,女,单身,2,3,22973,53,敦乐视疲劳滴眼液(13ML),4,0.2307056109345754,Z世代(18-27),低消费,低收入
U083,20,男,有朋友,3,3,74110,106,敦乐视疲劳滴眼液(13ML),4,0.14303063014437997,Z世代(18-27),中消费,高收入
U084,20,女,单身,3,3,28658,95,敦乐视疲劳滴眼液(13ML),4,0.3314955684276642,Z世代(18-27),中消费,低收入
U085,21,男,有朋友,5,4,44110,212,敦乐视疲劳滴眼液(13ML),4,0.4806166402176377,Z世代(18-27),高消费,中收入
U088,23,女,有朋友,3,3,26384,95,敦乐视疲劳滴眼液(13ML),4,0.3600667070952092,Z世代(18-27),中消费,低收入
U089,23,女,有朋友,3,3,28658,85,敦乐视疲劳滴眼液(13ML),4,0.2966012980668574,Z世代(18-27),中消费,低收入
U093,23,男,单身,3,2,50932,53,敦乐视疲劳滴眼液(13ML),4,0.10406031571507109,Z世代(18-27),低消费,中收入
U095,24,男,单身,3,2,50932,85,敦乐视疲劳滴眼液(13ML),4,0.16688918558077437,Z世代(18-27),中消费,中收入
U096,24,女,单身,3,4,38891,106,敦乐视疲劳滴眼液(13ML),4,0.2725566326399424,Z世代(18-27),中消费,低收入
U098,25,男,有朋友,2,3,55480,85,敦乐视疲劳滴眼液(13ML),4,0.1532083633741889,Z世代(18-27),中消费,中收入
U099,25,男,单身,3,4,53206,127,敦乐视疲劳滴眼液(13ML),4,0.23869488403563507,Z世代(18-27),高消费,中收入
U101,25,男,有朋友,5,3,87754,106,敦乐视疲劳滴眼液(13ML),4,0.12079221459990429,Z世代(18-27),中消费,高收入
U102,25,女,单身,3,3,35480,95,敦乐视疲劳滴眼液(13ML),4,0.2677564825253664,Z世代(18-27),中消费,低收入
U103,25,男,单身,2,3,53206,64,敦乐视疲劳滴眼液(13ML),4,0.12028718565575312,Z世代(18-27),低消费,中收入
U104,25,女,有朋友,4,3,35480,170,敦乐视疲劳滴眼液(13ML),4,0.4791431792559188,Z世代(18-27),高消费,低收入
U105,25,女,有朋友,3,4,33206,106,敦乐视疲劳滴眼液(13ML),4,0.3192194181774378,Z世代(18-27),中消费,低收入
U107,25,男,单身,2,2,55480,42,敦乐视疲劳滴眼液(13ML),4,0.07570295602018745,Z世代(18-27),低消费,中收入
U108,25,女,单身,4,3,38891,127,敦乐视疲劳滴眼液(13ML),4,0.326553701370497,Z世代(18-27),高消费,低收入
U112,27,女,单身,4,2,35480,53,敦乐视疲劳滴眼液(13ML),4,0.14937993235625704,Z世代(18-27),低消费,低收入
U113,29,男,有朋友,3,3,61165,95,敦乐视疲劳滴眼液(13ML),4,0.15531758358538378,千禧一代(28-38),中消费,高收入
U114,30,男,单身,3,3,67987,74,敦乐视疲劳滴眼液(13ML),4,0.10884433788812568,千禧一代(28-38),低消费,高收入
U129,35,男,有朋友,3,2,62302,53,敦乐视疲劳滴眼液(13ML),4,0.08506950017655934,千禧一代(28-38),低消费,高收入
U141,22,女,单身,4,3,38658,106,9色钻石珠光眼影盘,4,0.2741993895183403,Z世代(18-27),中消费,低收入
U167,29,女,有朋友,7,5,75906,300,9色钻石珠光眼影盘,4,0.395225673859774,千禧一代(28-38),高消费,高收入
U002,19,女,单身,2,3,21836,75,贝尔防蓝光眼镜(高级黑),5,0.34346949990840814,Z世代(18-27),低消费,低收入
U009,21,女,单身,5,4,25247,141,贝尔防蓝光眼镜(高级黑),5,0.5584821959044639,Z世代(18-27),高消费,低收入
U010,21,男,有朋友,2,3,47521,85,贝尔防蓝光眼镜(高级黑),5,0.17886828980871614,Z世代(18-27),中消费,中收入
U020,23,男,有朋友,2,2,44110,38,贝尔防蓝光眼镜(高级黑),5,0.0861482656993879,Z世代(18-27),低消费,中收入
U128,34,女,单身,3,3,57083,85,敦乐视疲劳滴眼液(13ML),5,0.14890597901301614,千禧一代(28-38),中消费,中收入
U013,22,男,单身,4,3,106384,75,贝尔防蓝光眼镜(高级黑),6,0.07049932320649721,Z世代(18-27),低消费,高收入
U015,23,女,有朋友,3,1,28658,47,贝尔防蓝光眼镜(高级黑),6,0.16400307069579176,Z世代(18-27),低消费,低收入
U016,23,女,有朋友,3,3,30932,75,贝尔防蓝光眼镜(高级黑),6,0.24246734773050563,Z世代(18-27),低消费,低收入
U018,23,女,有朋友,4,3,29795,94,贝尔防蓝光眼镜(高级黑),6,0.3154891760362477,Z世代(18-27),中消费,低收入
U019,23,男,单身,4,3,48658,113,贝尔防蓝光眼镜(高级黑),6,0.2322331374080316,Z世代(18-27),高消费,中收入
U022,23,女,单身,4,3,30932,94,贝尔防蓝光眼镜(高级黑),6,0.30389240915556703,Z世代(18-27),中消费,低收入
U023,24,男,单身,4,3,52069,94,贝尔防蓝光眼镜(高级黑),6,0.18052968176842266,Z世代(18-27),中消费,中收入
U024,24,男,有朋友,5,5,54343,188,贝尔防蓝光眼镜(高级黑),6,0.3459507204239736,Z世代(18-27),高消费,中收入
U027,24,男,单身,4,3,56617,75,贝尔防蓝光眼镜(高级黑),6,0.1324690463994913,Z世代(18-27),低消费,中收入
U032,25,女,单身,3,4,30932,113,贝尔防蓝光眼镜(高级黑),6,0.36531747058062847,Z世代(18-27),高消费,低收入
U033,25,男,有朋友,2,2,50932,47,贝尔防蓝光眼镜(高级黑),6,0.09227990261525171,Z世代(18-27),低消费,中收入
U034,25,女,单身,3,3,33206,85,贝尔防蓝光眼镜(高级黑),6,0.2559778353309643,Z世代(18-27),中消费,低收入
U036,26,男,有朋友,4,3,62302,113,贝尔防蓝光眼镜(高级黑),6,0.1813745947160605,Z世代(18-27),高消费,高收入
U037,26,女,有朋友,2,2,43439,47,贝尔防蓝光眼镜(高级黑),6,0.10819770252538043,Z世代(18-27),低消费,低收入
U038,26,女,有朋友,3,3,41165,85,贝尔防蓝光眼镜(高级黑),6,0.2064860925543544,Z世代(18-27),中消费,低收入
U039,26,男,单身,3,3,96384,66,贝尔防蓝光眼镜(高级黑),6,0.06847609561752989,Z世代(18-27),低消费,高收入
U040,26,女,有朋友,4,4,34343,132,贝尔防蓝光眼镜(高级黑),6,0.38435780217220394,Z世代(18-27),高消费,低收入
U041,26,女,单身,3,3,40028,85,贝尔防蓝光眼镜(高级黑),6,0.2123513540521635,Z世代(18-27),中消费,低收入
U043,27,女,单身,4,3,44576,85,贝尔防蓝光眼镜(高级黑),6,0.19068557071069633,Z世代(18-27),中消费,中收入
U046,28,男,有朋友,2,3,62302,66,贝尔防蓝光眼镜(高级黑),6,0.10593560399345126,千禧一代(28-38),低消费,高收入
U050,28,男,有朋友,3,3,91165,56,贝尔防蓝光眼镜(高级黑),6,0.0614270827620249,千禧一代(28-38),低消费,高收入
U053,29,男,有朋友,4,3,60028,94,贝尔防蓝光眼镜(高级黑),6,0.15659358965815953,千禧一代(28-38),中消费,中收入
U060,33,男,单身,2,2,65713,38,贝尔防蓝光眼镜(高级黑),6,0.057827218358620064,千禧一代(28-38),低消费,高收入
U061,33,男,有朋友,3,3,56617,85,贝尔防蓝光眼镜(高级黑),6,0.1501315859194235,千禧一代(28-38),中消费,中收入
U062,34,女,单身,4,5,41165,169,贝尔防蓝光眼镜(高级黑),6,0.4105429369610105,千禧一代(28-38),高消费,低收入
U063,34,男,单身,2,2,62302,66,贝尔防蓝光眼镜(高级黑),6,0.10593560399345126,千禧一代(28-38),低消费,高收入
U064,35,女,有朋友,4,3,38891,85,贝尔防蓝光眼镜(高级黑),6,0.2185595639093878,千禧一代(28-38),中消费,低收入
U065,35,男,有朋友,3,3,70261,94,贝尔防蓝光眼镜(高级黑),6,0.13378688034613798,千禧一代(28-38),中消费,高收入
U068,37,男,有朋友,3,3,47521,85,贝尔防蓝光眼镜(高级黑),6,0.17886828980871614,千禧一代(28-38),中消费,中收入
U069,38,女,有朋友,3,3,36617,75,贝尔防蓝光眼镜(高级黑),6,0.20482289646885327,千禧一代(28-38),低消费,低收入
U072,38,女,有朋友,3,3,46850,75,贝尔防蓝光眼镜(高级黑),6,0.16008537886872998,千禧一代(28-38),低消费,中收入
U073,39,女,有朋友,4,4,49124,132,贝尔防蓝光眼镜(高级黑),6,0.2687077599544011,成熟用户(39+),高消费,中收入
U074,40,女,有朋友,3,3,51398,66,贝尔防蓝光眼镜(高级黑),6,0.12840966574574886,成熟用户(39+),低消费,中收入
U075,41,女,有朋友,4,3,44576,103,贝尔防蓝光眼镜(高级黑),6,0.23106604450825557,成熟用户(39+),中消费,中收入
U076,43,女,有朋友,3,3,43439,66,贝尔防蓝光眼镜(高级黑),6,0.15193719929095975,成熟用户(39+),低消费,低收入
U077,44,男,单身,3,4,67987,75,贝尔防蓝光眼镜(高级黑),6,0.11031520731904629,成熟用户(39+),低消费,高收入
U078,46,男,有朋友,3,2,70261,47,贝尔防蓝光眼镜(高级黑),6,0.06689344017306899,成熟用户(39+),低消费,高收入
U079,47,女,有朋友,4,3,46850,94,贝尔防蓝光眼镜(高级黑),6,0.2006403415154749,成熟用户(39+),中消费,中收入
U080,50,男,有朋友,3,3,74809,66,贝尔防蓝光眼镜(高级黑),6,0.08822467884880161,成熟用户(39+),低消费,高收入
U086,21,女,有朋友,2,2,24110,42,敦乐视疲劳滴眼液(13ML),6,0.17420157610949813,Z世代(18-27),低消费,低收入
U090,23,男,单身,3,3,55480,95,敦乐视疲劳滴眼液(13ML),6,0.17123287671232876,Z世代(18-27),中消费,中收入
U091,23,女,有朋友,4,3,35480,127,敦乐视疲劳滴眼液(13ML),6,0.3579481397970688,Z世代(18-27),高消费,低收入
U092,23,男,有朋友,3,2,53206,74,敦乐视疲劳滴眼液(13ML),6,0.13908205841446453,Z世代(18-27),低消费,中收入
U094,23,女,有朋友,3,3,35480,64,敦乐视疲劳滴眼液(13ML),6,0.18038331454340473,Z世代(18-27),低消费,低收入
U097,24,男,单身,3,3,60028,106,敦乐视疲劳滴眼液(13ML),6,0.1765842606783501,Z世代(18-27),中消费,中收入
U100,25,女,有朋友,2,2,42302,42,敦乐视疲劳滴眼液(13ML),6,0.09928608576426647,Z世代(18-27),低消费,低收入
U106,25,女,有朋友,2,3,40028,53,敦乐视疲劳滴眼液(13ML),6,0.1324073148795843,Z世代(18-27),低消费,低收入
U109,26,男,有朋友,4,3,55480,85,敦乐视疲劳滴眼液(13ML),6,0.1532083633741889,Z世代(18-27),中消费,中收入
U110,26,男,单身,4,4,60028,127,敦乐视疲劳滴眼液(13ML),6,0.21156793496368362,Z世代(18-27),高消费,中收入
U111,26,女,单身,4,3,41165,106,敦乐视疲劳滴眼液(13ML),6,0.2575003036560185,Z世代(18-27),中消费,低收入
U116,31,女,有朋友,3,3,42302,95,敦乐视疲劳滴眼液(13ML),6,0.2245756701810789,千禧一代(28-38),中消费,低收入
U117,31,男,有朋友,2,3,61165,64,敦乐视疲劳滴眼液(13ML),6,0.10463500367857434,千禧一代(28-38),低消费,高收入
U119,32,女,单身,4,3,50261,127,敦乐视疲劳滴眼液(13ML),6,0.2526810051531008,千禧一代(28-38),高消费,中收入
U120,32,女,有朋友,3,3,43439,95,敦乐视疲劳滴眼液(13ML),6,0.21869748382789658,千禧一代(28-38),中消费,低收入
U122,33,男,有朋友,2,3,60028,85,敦乐视疲劳滴眼液(13ML),6,0.1416005863930166,千禧一代(28-38),中消费,中收入
U123,33,女,有朋友,3,3,41165,95,敦乐视疲劳滴眼液(13ML),6,0.23077857403133728,千禧一代(28-38),中消费,低收入
U124,33,男,有朋友,5,3,63439,95,敦乐视疲劳滴眼液(13ML),6,0.1497501536909472,千禧一代(28-38),中消费,高收入
U126,34,男,有朋友,4,3,74809,95,敦乐视疲劳滴眼液(13ML),6,0.12699006803994173,千禧一代(28-38),中消费,高收入
U127,34,女,有朋友,3,4,49124,85,敦乐视疲劳滴眼液(13ML),6,0.17303151209184922,千禧一代(28-38),中消费,中收入
U130,35,女,有朋友,3,2,43439,53,敦乐视疲劳滴眼液(13ML),6,0.12201017518819494,千禧一代(28-38),低消费,低收入
U131,35,男,单身,3,2,60028,64,敦乐视疲劳滴眼液(13ML),6,0.10661691210768309,千禧一代(28-38),低消费,中收入
U132,35,女,有朋友,3,3,43439,95,敦乐视疲劳滴眼液(13ML),6,0.21869748382789658,千禧一代(28-38),中消费,低收入
U133,37,男,有朋友,2,3,58891,85,敦乐视疲劳滴眼液(13ML),6,0.1443344483876993,千禧一代(28-38),中消费,中收入
U134,38,男,有朋友,4,3,72535,85,敦乐视疲劳滴眼液(13ML),6,0.11718480733439028,千禧一代(28-38),中消费,高收入
U135,38,女,有朋友,3,3,49124,106,敦乐视疲劳滴眼液(13ML),6,0.21578047390277666,千禧一代(28-38),中消费,中收入
U136,40,男,有朋友,3,3,71398,85,敦乐视疲劳滴眼液(13ML),6,0.11905095380822991,成熟用户(39+),中消费,高收入
U137,40,男,单身,3,3,67987,85,敦乐视疲劳滴眼液(13ML),6,0.12502390162825247,成熟用户(39+),中消费,高收入
U138,40,女,有朋友,3,3,54809,95,敦乐视疲劳滴眼液(13ML),6,0.17332919775949204,成熟用户(39+),中消费,中收入
U139,45,女,有朋友,2,2,44576,42,敦乐视疲劳滴眼液(13ML),6,0.09422110552763818,成熟用户(39+),低消费,中收入
U140,48,女,有朋友,2,3,47987,64,敦乐视疲劳滴眼液(13ML),6,0.13336945422718652,成熟用户(39+),低消费,中收入
U142,22,女,单身,3,5,44781,120,9色钻石珠光眼影盘,6,0.267970791183761,Z世代(18-27),高消费,中收入
U144,23,女,单身,4,5,48516,140,9色钻石珠光眼影盘,6,0.28856459724626926,Z世代(18-27),高消费,中收入
U146,23,女,单身,4,5,38556,100,9色钻石珠光眼影盘,6,0.2593630044610437,Z世代(18-27),中消费,低收入
U150,24,女,单身,5,5,39801,160,9色钻石珠光眼影盘,6,0.40199994975000625,Z世代(18-27),高消费,低收入
U151,25,女,有朋友,4,5,39801,120,9色钻石珠光眼影盘,6,0.3014999623125047,Z世代(18-27),高消费,低收入
U152,25,女,单身,4,4,52251,160,9色钻石珠光眼影盘,6,0.30621423513425583,Z世代(18-27),高消费,中收入
U159,26,女,单身,5,4,54741,180,9色钻石珠光眼影盘,6,0.3288211760837398,Z世代(18-27),高消费,中收入
U160,27,女,有朋友,4,5,73416,160,9色钻石珠光眼影盘,6,0.21793614470960007,Z世代(18-27),高消费,高收入
U168,30,男,有朋友,6,5,80560,280,9色钻石珠光眼影盘,6,0.3475670307845084,千禧一代(28-38),高消费,高收入
U171,31,女,有朋友,6,5,79641,260,9色钻石珠光眼影盘,6,0.3264650117401841,千禧一代(28-38),高消费,高收入
U173,34,女,单身,5,5,82131,150,9色钻石珠光眼影盘,6,0.18263505862585383,千禧一代(28-38),高消费,高收入
U174,35,女,有朋友,4,5,82131,360,9色钻石珠光眼影盘,6,0.43832414070204917,千禧一代(28-38),高消费,高收入
U178,45,女,单身,5,5,80886,160,9色钻石珠光眼影盘,6,0.19780926241871277,成熟用户(39+),高消费,高收入
U051,29,女,有朋友,3,3,58220,85,贝尔防蓝光眼镜(高级黑),8,0.14599793885262796,千禧一代(28-38),中消费,中收入
U066,35,男,单身,3,3,77083,85,贝尔防蓝光眼镜(高级黑),8,0.11027074711674428,千禧一代(28-38),中消费,高收入
U118,31,男,单身,2,1,75220,21,敦乐视疲劳滴眼液(13ML),8,0.027918106886466364,千禧一代(28-38),低消费,高收入
U125,33,男,单身,3,4,57754,74,敦乐视疲劳滴眼液(13ML),8,0.12812965335734322,千禧一代(28-38),低消费,中收入
U143,22,女,单身,4,5,38556,200,9色钻石珠光眼影盘,8,0.5187260089220874,Z世代(18-27),高消费,低收入
U145,23,男,单身,5,4,63536,100,9色钻石珠光眼影盘,8,0.1573910853689247,Z世代(18-27),中消费,高收入
U148,24,女,有朋友,4,5,47271,80,9色钻石珠光眼影盘,8,0.16923695288866325,Z世代(18-27),低消费,中收入
U153,25,男,有朋友,5,5,71006,200,9色钻石珠光眼影盘,8,0.28166633805593894,Z世代(18-27),高消费,高收入
U154,25,女,有朋友,4,3,54741,100,9色钻石珠光眼影盘,8,0.18267843115763321,Z世代(18-27),中消费,中收入
U155,25,女,单身,6,4,60966,180,9色钻石珠光眼影盘,8,0.29524653085326247,Z世代(18-27),高消费,高收入
U156,25,女,有朋友,6,5,65946,240,9色钻石珠光眼影盘,8,0.36393412792284596,Z世代(18-27),高消费,高收入
U161,27,女,单身,4,3,78396,100,9色钻石珠光眼影盘,8,0.12755752844532883,Z世代(18-27),中消费,高收入
U163,28,男,有朋友,6,5,102131,180,9色钻石珠光眼影盘,8,0.17624423534480227,千禧一代(28-38),高消费,高收入
U164,28,女,有朋友,7,5,67191,180,9色钻石珠光眼影盘,8,0.2678930213867929,千禧一代(28-38),高消费,高收入
U165,28,女,单身,6,5,78396,150,9色钻石珠光眼影盘,8,0.19133629266799326,千禧一代(28-38),高消费,高收入
U166,29,女,单身,5,5,42290,180,9色钻石珠光眼影盘,8,0.425632537242847,千禧一代(28-38),高消费,低收入
U169,30,女,单身,5,4,93336,160,9色钻石珠光眼影盘,8,0.17142367360932545,千禧一代(28-38),高消费,高收入
U170,30,女,有朋友,5,5,89601,150,9色钻石珠光眼影盘,8,0.16740884588341648,千禧一代(28-38),高消费,高收入
U172,33,男,有朋友,4,5,105866,200,9色钻石珠光眼影盘,8,0.18891806623467403,千禧一代(28-38),高消费,高收入
U175,38,女,有朋友,5,5,94581,150,9色钻石珠光眼影盘,8,0.15859422082659308,千禧一代(28-38),高消费,高收入
U177,42,女,单身,5,4,79641,200,9色钻石珠光眼影盘,8,0.2511269321078339,成熟用户(39+),高消费,高收入
U179,47,女,有朋友,4,5,94581,120,9色钻石珠光眼影盘,8,0.12687537666127446,成熟用户(39+),高消费,高收入
U180,48,女,单身,4,5,85508,180,9色钻石珠光眼影盘,8,0.21050661926369463,成熟用户(39+),高消费,高收入
U157,25,女,有朋友,4,5,64701,170,9色钻石珠光眼影盘,10,0.26274709819013614,Z世代(18-27),高消费,高收入
U158,26,男,单身,4,3,79721,100,9色钻石珠光眼影盘,11,0.1254374631527452,Z世代(18-27),中消费,高收入
U162,27,女,有朋友,4,4,80886,100,9色钻石珠光眼影盘,11,0.12363078901169548,Z世代(18-27),中消费,高收入
U176,40,女,单身,6,5,73416,200,9色钻石珠光眼影盘,11,0.27242018088700015,成熟用户(39+),高消费,高收入
