用户编号,年龄,性别,状态,下单次数,视力,年收入,年消费,近期购买产品,已注册月,收入消费比,年龄层次,消费等级,收入等级,R_Stage,F_Stage,M_Stage,用户价值,生命周期,综合分群
U067,36,女,单身,4,3,34343,94,贝尔防蓝光眼镜(高级黑),2,0.2737093439711149,千禧一代(28-38),中消费,低收入,新用户,中频,低价值,价格敏感,新用户,其他
U147,24,女,单身,4,5,51006,100,9色钻石珠光眼影盘,6,0.1960553660353683,Z世代(18-27),中消费,中收入,活跃,中频,低价值,价值用户,活跃用户,其他
U149,24,男,单身,5,5,62291,200,9色钻石珠光眼影盘,6,0.3210736703536626,Z世代(18-27),高消费,高收入,活跃,中频,中价值,高价值用户,活跃用户,高收入美妆爱好者
U087,21,女,有朋友,2,2,22973,53,敦乐视疲劳滴眼液(13ML),2,0.2307056109345754,Z世代(18-27),低消费,低收入,新用户,低频,低价值,价格敏感,新用户,年轻护眼刚需族
U005,20,女,有朋友,4,2,25247,47,贝尔防蓝光眼镜(高级黑),3,0.1861607319681546,Z世代(18-27),低消费,低收入,新用户,中频,低价值,价格敏感,新用户,年轻护眼刚需族
U008,21,女,单身,3,3,22973,85,贝尔防蓝光眼镜(高级黑),3,0.3699995647063944,Z世代(18-27),中消费,低收入,新用户,低频,低价值,价格敏感,新用户,年轻护眼刚需族
U026,24,女,有朋友,3,2,32069,47,贝尔防蓝光眼镜(高级黑),3,0.1465589821946428,Z世代(18-27),低消费,低收入,新用户,低频,低价值,其他,新用户,年轻护眼刚需族
U115,30,男,单身,4,3,56617,106,敦乐视疲劳滴眼液(13ML),3,0.187222918911281,千禧一代(28-38),中消费,中收入,新用户,中频,中价值,价值用户,新用户,其他
U121,33,女,有朋友,4,4,43439,170,敦乐视疲劳滴眼液(13ML),3,0.3913533921130781,千禧一代(28-38),高消费,低收入,新用户,中频,中价值,价格敏感,新用户,中年视力关爱群体
U001,18,女,单身,3,4,19562,112,贝尔防蓝光眼镜(高级黑),4,0.572538595235661,Z世代(18-27),高消费,低收入,活跃,低频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U003,19,男,有朋友,4,3,40699,66,贝尔防蓝光眼镜(高级黑),4,0.1621661465883682,Z世代(18-27),低消费,低收入,活跃,中频,低价值,其他,活跃用户,年轻护眼刚需族
U006,20,男,有朋友,3,3,42973,66,贝尔防蓝光眼镜(高级黑),4,0.1535848090661578,Z世代(18-27),低消费,低收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U007,21,男,有朋友,3,3,45247,75,贝尔防蓝光眼镜(高级黑),4,0.1657568457577298,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U011,22,女,单身,3,3,26384,85,贝尔防蓝光眼镜(高级黑),4,0.3221649484536082,Z世代(18-27),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U012,22,男,有朋友,3,2,45247,66,贝尔防蓝光眼镜(高级黑),4,0.1458660242668022,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U014,22,男,单身,3,3,45247,75,贝尔防蓝光眼镜(高级黑),4,0.1657568457577298,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U017,23,男,单身,2,3,44110,103,贝尔防蓝光眼镜(高级黑),4,0.2335071412378145,Z世代(18-27),中消费,中收入,活跃,低频,中价值,价值用户,活跃用户,年轻护眼刚需族
U021,23,女,单身,4,3,28658,113,贝尔防蓝光眼镜(高级黑),4,0.3943052550771164,Z世代(18-27),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U025,24,女,单身,2,3,35480,113,贝尔防蓝光眼镜(高级黑),4,0.3184892897406989,Z世代(18-27),高消费,低收入,活跃,低频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U028,25,男,有朋友,3,3,58891,75,贝尔防蓝光眼镜(高级黑),4,0.12735392504797,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U029,25,女,有朋友,2,3,35480,56,贝尔防蓝光眼镜(高级黑),4,0.1578354002254791,Z世代(18-27),低消费,低收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U030,25,男,有朋友,2,2,83450,47,贝尔防蓝光眼镜(高级黑),4,0.0563211503894547,Z世代(18-27),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,年轻护眼刚需族
U031,25,男,有朋友,3,3,99795,85,贝尔防蓝光眼镜(高级黑),4,0.0851746079462899,Z世代(18-27),中消费,高收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U035,26,男,有朋友,3,4,54343,113,贝尔防蓝光眼镜(高级黑),4,0.2079384649356863,Z世代(18-27),高消费,中收入,活跃,低频,中价值,其他,活跃用户,年轻护眼刚需族
U042,27,男,有朋友,3,2,55480,66,贝尔防蓝光眼镜(高级黑),4,0.1189617880317231,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U044,27,男,有朋友,2,3,55480,56,贝尔防蓝光眼镜(高级黑),4,0.1009372746935832,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U045,28,男,有朋友,2,3,81290,56,贝尔防蓝光眼镜(高级黑),4,0.0688891622585804,千禧一代(28-38),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U047,28,女,单身,3,3,42302,103,贝尔防蓝光眼镜(高级黑),4,0.2434873055647487,千禧一代(28-38),中消费,低收入,活跃,低频,中价值,价格敏感,活跃用户,其他
U048,28,男,有朋友,3,3,64576,94,贝尔防蓝光眼镜(高级黑),4,0.1455649157581764,千禧一代(28-38),中消费,高收入,活跃,低频,低价值,其他,活跃用户,其他
U049,28,女,单身,4,3,44576,113,贝尔防蓝光眼镜(高级黑),4,0.2534996410624551,千禧一代(28-38),高消费,中收入,活跃,中频,中价值,其他,活跃用户,其他
U052,29,男,有朋友,2,2,56617,38,贝尔防蓝光眼镜(高级黑),4,0.0671176501757422,千禧一代(28-38),低消费,中收入,活跃,低频,低价值,其他,活跃用户,其他
U054,30,女,有朋友,4,4,36617,141,贝尔防蓝光眼镜(高级黑),4,0.3850670453614441,千禧一代(28-38),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,中年视力关爱群体
U055,30,女,单身,3,3,44576,85,贝尔防蓝光眼镜(高级黑),4,0.1906855707106963,千禧一代(28-38),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,其他
U056,31,女,有朋友,2,2,44576,47,贝尔防蓝光眼镜(高级黑),4,0.1054379038047379,千禧一代(28-38),低消费,中收入,活跃,低频,低价值,其他,活跃用户,其他
U057,31,男,单身,2,2,55480,47,贝尔防蓝光眼镜(高级黑),4,0.0847152126892573,千禧一代(28-38),低消费,中收入,活跃,低频,低价值,其他,活跃用户,其他
U058,32,男,单身,3,4,56617,113,贝尔防蓝光眼镜(高级黑),4,0.1995866965752336,千禧一代(28-38),高消费,中收入,活跃,低频,中价值,其他,活跃用户,中年视力关爱群体
U059,32,女,有朋友,4,3,42302,85,贝尔防蓝光眼镜(高级黑),4,0.2009361259514916,千禧一代(28-38),中消费,低收入,活跃,中频,低价值,价格敏感,活跃用户,其他
U070,38,男,有朋友,2,3,64576,56,贝尔防蓝光眼镜(高级黑),4,0.0867195242814668,千禧一代(28-38),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U071,38,女,单身,2,3,42302,56,贝尔防蓝光眼镜(高级黑),4,0.1323814476856886,千禧一代(28-38),低消费,低收入,活跃,低频,低价值,其他,活跃用户,其他
U081,19,女,单身,3,3,21836,64,敦乐视疲劳滴眼液(13ML),4,0.2930939732551749,Z世代(18-27),低消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U082,20,女,单身,2,3,22973,53,敦乐视疲劳滴眼液(13ML),4,0.2307056109345754,Z世代(18-27),低消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U083,20,男,有朋友,3,3,74110,106,敦乐视疲劳滴眼液(13ML),4,0.1430306301443799,Z世代(18-27),中消费,高收入,活跃,低频,中价值,其他,活跃用户,年轻护眼刚需族
U084,20,女,单身,3,3,28658,95,敦乐视疲劳滴眼液(13ML),4,0.3314955684276642,Z世代(18-27),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U085,21,男,有朋友,5,4,44110,212,敦乐视疲劳滴眼液(13ML),4,0.4806166402176377,Z世代(18-27),高消费,中收入,活跃,中频,高价值,其他,活跃用户,年轻护眼刚需族
U088,23,女,有朋友,3,3,26384,95,敦乐视疲劳滴眼液(13ML),4,0.3600667070952092,Z世代(18-27),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U089,23,女,有朋友,3,3,28658,85,敦乐视疲劳滴眼液(13ML),4,0.2966012980668574,Z世代(18-27),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U093,23,男,单身,3,2,50932,53,敦乐视疲劳滴眼液(13ML),4,0.104060315715071,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U095,24,男,单身,3,2,50932,85,敦乐视疲劳滴眼液(13ML),4,0.1668891855807743,Z世代(18-27),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,年轻护眼刚需族
U096,24,女,单身,3,4,38891,106,敦乐视疲劳滴眼液(13ML),4,0.2725566326399424,Z世代(18-27),中消费,低收入,活跃,低频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U098,25,男,有朋友,2,3,55480,85,敦乐视疲劳滴眼液(13ML),4,0.1532083633741889,Z世代(18-27),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,年轻护眼刚需族
U099,25,男,单身,3,4,53206,127,敦乐视疲劳滴眼液(13ML),4,0.238694884035635,Z世代(18-27),高消费,中收入,活跃,低频,中价值,其他,活跃用户,年轻护眼刚需族
U101,25,男,有朋友,5,3,87754,106,敦乐视疲劳滴眼液(13ML),4,0.1207922145999042,Z世代(18-27),中消费,高收入,活跃,中频,中价值,其他,活跃用户,年轻护眼刚需族
U102,25,女,单身,3,3,35480,95,敦乐视疲劳滴眼液(13ML),4,0.2677564825253664,Z世代(18-27),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U103,25,男,单身,2,3,53206,64,敦乐视疲劳滴眼液(13ML),4,0.1202871856557531,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U104,25,女,有朋友,4,3,35480,170,敦乐视疲劳滴眼液(13ML),4,0.4791431792559188,Z世代(18-27),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U105,25,女,有朋友,3,4,33206,106,敦乐视疲劳滴眼液(13ML),4,0.3192194181774378,Z世代(18-27),中消费,低收入,活跃,低频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U107,25,男,单身,2,2,55480,42,敦乐视疲劳滴眼液(13ML),4,0.0757029560201874,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U108,25,女,单身,4,3,38891,127,敦乐视疲劳滴眼液(13ML),4,0.326553701370497,Z世代(18-27),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U112,27,女,单身,4,2,35480,53,敦乐视疲劳滴眼液(13ML),4,0.149379932356257,Z世代(18-27),低消费,低收入,活跃,中频,低价值,其他,活跃用户,年轻护眼刚需族
U113,29,男,有朋友,3,3,61165,95,敦乐视疲劳滴眼液(13ML),4,0.1553175835853837,千禧一代(28-38),中消费,高收入,活跃,低频,低价值,其他,活跃用户,其他
U114,30,男,单身,3,3,67987,74,敦乐视疲劳滴眼液(13ML),4,0.1088443378881256,千禧一代(28-38),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U129,35,男,有朋友,3,2,62302,53,敦乐视疲劳滴眼液(13ML),4,0.0850695001765593,千禧一代(28-38),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U141,22,女,单身,4,3,38658,106,9色钻石珠光眼影盘,4,0.2741993895183403,Z世代(18-27),中消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,其他
U167,29,女,有朋友,7,5,75906,300,9色钻石珠光眼影盘,4,0.395225673859774,千禧一代(28-38),高消费,高收入,活跃,高频,高价值,高价值用户,活跃用户,高收入美妆爱好者
U002,19,女,单身,2,3,21836,75,贝尔防蓝光眼镜(高级黑),5,0.3434694999084081,Z世代(18-27),低消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U009,21,女,单身,5,4,25247,141,贝尔防蓝光眼镜(高级黑),5,0.5584821959044639,Z世代(18-27),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U010,21,男,有朋友,2,3,47521,85,贝尔防蓝光眼镜(高级黑),5,0.1788682898087161,Z世代(18-27),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,年轻护眼刚需族
U020,23,男,有朋友,2,2,44110,38,贝尔防蓝光眼镜(高级黑),5,0.0861482656993879,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U128,34,女,单身,3,3,57083,85,敦乐视疲劳滴眼液(13ML),5,0.1489059790130161,千禧一代(28-38),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,其他
U013,22,男,单身,4,3,106384,75,贝尔防蓝光眼镜(高级黑),6,0.0704993232064972,Z世代(18-27),低消费,高收入,活跃,中频,低价值,潜力用户,活跃用户,年轻护眼刚需族
U015,23,女,有朋友,3,1,28658,47,贝尔防蓝光眼镜(高级黑),6,0.1640030706957917,Z世代(18-27),低消费,低收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U016,23,女,有朋友,3,3,30932,75,贝尔防蓝光眼镜(高级黑),6,0.2424673477305056,Z世代(18-27),低消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U018,23,女,有朋友,4,3,29795,94,贝尔防蓝光眼镜(高级黑),6,0.3154891760362477,Z世代(18-27),中消费,低收入,活跃,中频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U019,23,男,单身,4,3,48658,113,贝尔防蓝光眼镜(高级黑),6,0.2322331374080316,Z世代(18-27),高消费,中收入,活跃,中频,中价值,其他,活跃用户,年轻护眼刚需族
U022,23,女,单身,4,3,30932,94,贝尔防蓝光眼镜(高级黑),6,0.303892409155567,Z世代(18-27),中消费,低收入,活跃,中频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U023,24,男,单身,4,3,52069,94,贝尔防蓝光眼镜(高级黑),6,0.1805296817684226,Z世代(18-27),中消费,中收入,活跃,中频,低价值,价值用户,活跃用户,年轻护眼刚需族
U024,24,男,有朋友,5,5,54343,188,贝尔防蓝光眼镜(高级黑),6,0.3459507204239736,Z世代(18-27),高消费,中收入,活跃,中频,中价值,其他,活跃用户,年轻护眼刚需族
U027,24,男,单身,4,3,56617,75,贝尔防蓝光眼镜(高级黑),6,0.1324690463994913,Z世代(18-27),低消费,中收入,活跃,中频,低价值,其他,活跃用户,年轻护眼刚需族
U032,25,女,单身,3,4,30932,113,贝尔防蓝光眼镜(高级黑),6,0.3653174705806284,Z世代(18-27),高消费,低收入,活跃,低频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U033,25,男,有朋友,2,2,50932,47,贝尔防蓝光眼镜(高级黑),6,0.0922799026152517,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U034,25,女,单身,3,3,33206,85,贝尔防蓝光眼镜(高级黑),6,0.2559778353309643,Z世代(18-27),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U036,26,男,有朋友,4,3,62302,113,贝尔防蓝光眼镜(高级黑),6,0.1813745947160605,Z世代(18-27),高消费,高收入,活跃,中频,中价值,高价值用户,活跃用户,年轻护眼刚需族
U037,26,女,有朋友,2,2,43439,47,贝尔防蓝光眼镜(高级黑),6,0.1081977025253804,Z世代(18-27),低消费,低收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U038,26,女,有朋友,3,3,41165,85,贝尔防蓝光眼镜(高级黑),6,0.2064860925543544,Z世代(18-27),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U039,26,男,单身,3,3,96384,66,贝尔防蓝光眼镜(高级黑),6,0.0684760956175298,Z世代(18-27),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,年轻护眼刚需族
U040,26,女,有朋友,4,4,34343,132,贝尔防蓝光眼镜(高级黑),6,0.3843578021722039,Z世代(18-27),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U041,26,女,单身,3,3,40028,85,贝尔防蓝光眼镜(高级黑),6,0.2123513540521635,Z世代(18-27),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,年轻护眼刚需族
U043,27,女,单身,4,3,44576,85,贝尔防蓝光眼镜(高级黑),6,0.1906855707106963,Z世代(18-27),中消费,中收入,活跃,中频,低价值,价值用户,活跃用户,年轻护眼刚需族
