用户编号,年龄,性别,状态,下单次数,视力,年收入,年消费,近期购买产品,已注册月,收入消费比,年龄层次,消费等级,收入等级,R_Stage,F_Stage,M_Stage,用户价值,生命周期,综合分群
U046,28,男,有朋友,2,3,62302,66,贝尔防蓝光眼镜(高级黑),6,0.1059356039934512,千禧一代(28-38),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U050,28,男,有朋友,3,3,91165,56,贝尔防蓝光眼镜(高级黑),6,0.0614270827620249,千禧一代(28-38),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U053,29,男,有朋友,4,3,60028,94,贝尔防蓝光眼镜(高级黑),6,0.1565935896581595,千禧一代(28-38),中消费,中收入,活跃,中频,低价值,价值用户,活跃用户,其他
U060,33,男,单身,2,2,65713,38,贝尔防蓝光眼镜(高级黑),6,0.05782721835862,千禧一代(28-38),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U061,33,男,有朋友,3,3,56617,85,贝尔防蓝光眼镜(高级黑),6,0.1501315859194235,千禧一代(28-38),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,其他
U062,34,女,单身,4,5,41165,169,贝尔防蓝光眼镜(高级黑),6,0.4105429369610105,千禧一代(28-38),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,中年视力关爱群体
U063,34,男,单身,2,2,62302,66,贝尔防蓝光眼镜(高级黑),6,0.1059356039934512,千禧一代(28-38),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U064,35,女,有朋友,4,3,38891,85,贝尔防蓝光眼镜(高级黑),6,0.2185595639093878,千禧一代(28-38),中消费,低收入,活跃,中频,低价值,价格敏感,活跃用户,其他
U065,35,男,有朋友,3,3,70261,94,贝尔防蓝光眼镜(高级黑),6,0.1337868803461379,千禧一代(28-38),中消费,高收入,活跃,低频,低价值,其他,活跃用户,其他
U068,37,男,有朋友,3,3,47521,85,贝尔防蓝光眼镜(高级黑),6,0.1788682898087161,千禧一代(28-38),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,其他
U069,38,女,有朋友,3,3,36617,75,贝尔防蓝光眼镜(高级黑),6,0.2048228964688532,千禧一代(28-38),低消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,其他
U072,38,女,有朋友,3,3,46850,75,贝尔防蓝光眼镜(高级黑),6,0.1600853788687299,千禧一代(28-38),低消费,中收入,活跃,低频,低价值,其他,活跃用户,其他
U073,39,女,有朋友,4,4,49124,132,贝尔防蓝光眼镜(高级黑),6,0.2687077599544011,成熟用户(39+),高消费,中收入,活跃,中频,中价值,其他,活跃用户,中年视力关爱群体
U074,40,女,有朋友,3,3,51398,66,贝尔防蓝光眼镜(高级黑),6,0.1284096657457488,成熟用户(39+),低消费,中收入,活跃,低频,低价值,其他,活跃用户,其他
U075,41,女,有朋友,4,3,44576,103,贝尔防蓝光眼镜(高级黑),6,0.2310660445082555,成熟用户(39+),中消费,中收入,活跃,中频,中价值,价值用户,活跃用户,其他
U076,43,女,有朋友,3,3,43439,66,贝尔防蓝光眼镜(高级黑),6,0.1519371992909597,成熟用户(39+),低消费,低收入,活跃,低频,低价值,其他,活跃用户,其他
U077,44,男,单身,3,4,67987,75,贝尔防蓝光眼镜(高级黑),6,0.1103152073190462,成熟用户(39+),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,中年视力关爱群体
U078,46,男,有朋友,3,2,70261,47,贝尔防蓝光眼镜(高级黑),6,0.0668934401730689,成熟用户(39+),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U079,47,女,有朋友,4,3,46850,94,贝尔防蓝光眼镜(高级黑),6,0.2006403415154749,成熟用户(39+),中消费,中收入,活跃,中频,低价值,价值用户,活跃用户,其他
U080,50,男,有朋友,3,3,74809,66,贝尔防蓝光眼镜(高级黑),6,0.0882246788488016,成熟用户(39+),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U086,21,女,有朋友,2,2,24110,42,敦乐视疲劳滴眼液(13ML),6,0.1742015761094981,Z世代(18-27),低消费,低收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U090,23,男,单身,3,3,55480,95,敦乐视疲劳滴眼液(13ML),6,0.1712328767123287,Z世代(18-27),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,年轻护眼刚需族
U091,23,女,有朋友,4,3,35480,127,敦乐视疲劳滴眼液(13ML),6,0.3579481397970688,Z世代(18-27),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U092,23,男,有朋友,3,2,53206,74,敦乐视疲劳滴眼液(13ML),6,0.1390820584144645,Z世代(18-27),低消费,中收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U094,23,女,有朋友,3,3,35480,64,敦乐视疲劳滴眼液(13ML),6,0.1803833145434047,Z世代(18-27),低消费,低收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U097,24,男,单身,3,3,60028,106,敦乐视疲劳滴眼液(13ML),6,0.1765842606783501,Z世代(18-27),中消费,中收入,活跃,低频,中价值,价值用户,活跃用户,年轻护眼刚需族
U100,25,女,有朋友,2,2,42302,42,敦乐视疲劳滴眼液(13ML),6,0.0992860857642664,Z世代(18-27),低消费,低收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U106,25,女,有朋友,2,3,40028,53,敦乐视疲劳滴眼液(13ML),6,0.1324073148795843,Z世代(18-27),低消费,低收入,活跃,低频,低价值,其他,活跃用户,年轻护眼刚需族
U109,26,男,有朋友,4,3,55480,85,敦乐视疲劳滴眼液(13ML),6,0.1532083633741889,Z世代(18-27),中消费,中收入,活跃,中频,低价值,价值用户,活跃用户,年轻护眼刚需族
U110,26,男,单身,4,4,60028,127,敦乐视疲劳滴眼液(13ML),6,0.2115679349636836,Z世代(18-27),高消费,中收入,活跃,中频,中价值,其他,活跃用户,年轻护眼刚需族
U111,26,女,单身,4,3,41165,106,敦乐视疲劳滴眼液(13ML),6,0.2575003036560185,Z世代(18-27),中消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,年轻护眼刚需族
U116,31,女,有朋友,3,3,42302,95,敦乐视疲劳滴眼液(13ML),6,0.2245756701810789,千禧一代(28-38),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,其他
U117,31,男,有朋友,2,3,61165,64,敦乐视疲劳滴眼液(13ML),6,0.1046350036785743,千禧一代(28-38),低消费,高收入,活跃,低频,低价值,潜力用户,活跃用户,其他
U119,32,女,单身,4,3,50261,127,敦乐视疲劳滴眼液(13ML),6,0.2526810051531008,千禧一代(28-38),高消费,中收入,活跃,中频,中价值,其他,活跃用户,其他
U120,32,女,有朋友,3,3,43439,95,敦乐视疲劳滴眼液(13ML),6,0.2186974838278965,千禧一代(28-38),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,其他
U122,33,男,有朋友,2,3,60028,85,敦乐视疲劳滴眼液(13ML),6,0.1416005863930166,千禧一代(28-38),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,其他
U123,33,女,有朋友,3,3,41165,95,敦乐视疲劳滴眼液(13ML),6,0.2307785740313372,千禧一代(28-38),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,其他
U124,33,男,有朋友,5,3,63439,95,敦乐视疲劳滴眼液(13ML),6,0.1497501536909472,千禧一代(28-38),中消费,高收入,活跃,中频,低价值,其他,活跃用户,其他
U126,34,男,有朋友,4,3,74809,95,敦乐视疲劳滴眼液(13ML),6,0.1269900680399417,千禧一代(28-38),中消费,高收入,活跃,中频,低价值,其他,活跃用户,其他
U127,34,女,有朋友,3,4,49124,85,敦乐视疲劳滴眼液(13ML),6,0.1730315120918492,千禧一代(28-38),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,中年视力关爱群体
U130,35,女,有朋友,3,2,43439,53,敦乐视疲劳滴眼液(13ML),6,0.1220101751881949,千禧一代(28-38),低消费,低收入,活跃,低频,低价值,其他,活跃用户,其他
U131,35,男,单身,3,2,60028,64,敦乐视疲劳滴眼液(13ML),6,0.106616912107683,千禧一代(28-38),低消费,中收入,活跃,低频,低价值,其他,活跃用户,其他
U132,35,女,有朋友,3,3,43439,95,敦乐视疲劳滴眼液(13ML),6,0.2186974838278965,千禧一代(28-38),中消费,低收入,活跃,低频,低价值,价格敏感,活跃用户,其他
U133,37,男,有朋友,2,3,58891,85,敦乐视疲劳滴眼液(13ML),6,0.1443344483876993,千禧一代(28-38),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,其他
U134,38,男,有朋友,4,3,72535,85,敦乐视疲劳滴眼液(13ML),6,0.1171848073343902,千禧一代(28-38),中消费,高收入,活跃,中频,低价值,其他,活跃用户,其他
U135,38,女,有朋友,3,3,49124,106,敦乐视疲劳滴眼液(13ML),6,0.2157804739027766,千禧一代(28-38),中消费,中收入,活跃,低频,中价值,价值用户,活跃用户,其他
U136,40,男,有朋友,3,3,71398,85,敦乐视疲劳滴眼液(13ML),6,0.1190509538082299,成熟用户(39+),中消费,高收入,活跃,低频,低价值,其他,活跃用户,其他
U137,40,男,单身,3,3,67987,85,敦乐视疲劳滴眼液(13ML),6,0.1250239016282524,成熟用户(39+),中消费,高收入,活跃,低频,低价值,其他,活跃用户,其他
U138,40,女,有朋友,3,3,54809,95,敦乐视疲劳滴眼液(13ML),6,0.173329197759492,成熟用户(39+),中消费,中收入,活跃,低频,低价值,价值用户,活跃用户,其他
U139,45,女,有朋友,2,2,44576,42,敦乐视疲劳滴眼液(13ML),6,0.0942211055276381,成熟用户(39+),低消费,中收入,活跃,低频,低价值,其他,活跃用户,其他
U140,48,女,有朋友,2,3,47987,64,敦乐视疲劳滴眼液(13ML),6,0.1333694542271865,成熟用户(39+),低消费,中收入,活跃,低频,低价值,其他,活跃用户,其他
U142,22,女,单身,3,5,44781,120,9色钻石珠光眼影盘,6,0.267970791183761,Z世代(18-27),高消费,中收入,活跃,低频,中价值,其他,活跃用户,其他
U144,23,女,单身,4,5,48516,140,9色钻石珠光眼影盘,6,0.2885645972462692,Z世代(18-27),高消费,中收入,活跃,中频,中价值,其他,活跃用户,其他
U146,23,女,单身,4,5,38556,100,9色钻石珠光眼影盘,6,0.2593630044610437,Z世代(18-27),中消费,低收入,活跃,中频,低价值,价格敏感,活跃用户,其他
U150,24,女,单身,5,5,39801,160,9色钻石珠光眼影盘,6,0.4019999497500062,Z世代(18-27),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,其他
U151,25,女,有朋友,4,5,39801,120,9色钻石珠光眼影盘,6,0.3014999623125047,Z世代(18-27),高消费,低收入,活跃,中频,中价值,价格敏感,活跃用户,其他
U152,25,女,单身,4,4,52251,160,9色钻石珠光眼影盘,6,0.3062142351342558,Z世代(18-27),高消费,中收入,活跃,中频,中价值,其他,活跃用户,其他
U159,26,女,单身,5,4,54741,180,9色钻石珠光眼影盘,6,0.3288211760837398,Z世代(18-27),高消费,中收入,活跃,中频,中价值,其他,活跃用户,其他
U160,27,女,有朋友,4,5,73416,160,9色钻石珠光眼影盘,6,0.2179361447096,Z世代(18-27),高消费,高收入,活跃,中频,中价值,高价值用户,活跃用户,高收入美妆爱好者
U168,30,男,有朋友,6,5,80560,280,9色钻石珠光眼影盘,6,0.3475670307845084,千禧一代(28-38),高消费,高收入,活跃,高频,高价值,高价值用户,活跃用户,高收入美妆爱好者
U171,31,女,有朋友,6,5,79641,260,9色钻石珠光眼影盘,6,0.3264650117401841,千禧一代(28-38),高消费,高收入,活跃,高频,高价值,高价值用户,活跃用户,高收入美妆爱好者
U173,34,女,单身,5,5,82131,150,9色钻石珠光眼影盘,6,0.1826350586258538,千禧一代(28-38),高消费,高收入,活跃,中频,中价值,高价值用户,活跃用户,高收入美妆爱好者
U174,35,女,有朋友,4,5,82131,360,9色钻石珠光眼影盘,6,0.4383241407020491,千禧一代(28-38),高消费,高收入,活跃,中频,高价值,高价值用户,活跃用户,高收入美妆爱好者
U178,45,女,单身,5,5,80886,160,9色钻石珠光眼影盘,6,0.1978092624187127,成熟用户(39+),高消费,高收入,活跃,中频,中价值,高价值用户,活跃用户,高收入美妆爱好者
U051,29,女,有朋友,3,3,58220,85,贝尔防蓝光眼镜(高级黑),8,0.1459979388526279,千禧一代(28-38),中消费,中收入,稳定,低频,低价值,价值用户,忠诚用户,其他
U066,35,男,单身,3,3,77083,85,贝尔防蓝光眼镜(高级黑),8,0.1102707471167442,千禧一代(28-38),中消费,高收入,稳定,低频,低价值,其他,忠诚用户,其他
U118,31,男,单身,2,1,75220,21,敦乐视疲劳滴眼液(13ML),8,0.0279181068864663,千禧一代(28-38),低消费,高收入,稳定,低频,低价值,潜力用户,忠诚用户,其他
U125,33,男,单身,3,4,57754,74,敦乐视疲劳滴眼液(13ML),8,0.1281296533573432,千禧一代(28-38),低消费,中收入,稳定,低频,低价值,其他,忠诚用户,中年视力关爱群体
U143,22,女,单身,4,5,38556,200,9色钻石珠光眼影盘,8,0.5187260089220874,Z世代(18-27),高消费,低收入,稳定,中频,中价值,价格敏感,忠诚用户,其他
U145,23,男,单身,5,4,63536,100,9色钻石珠光眼影盘,8,0.1573910853689247,Z世代(18-27),中消费,高收入,稳定,中频,低价值,其他,忠诚用户,高收入美妆爱好者
U148,24,女,有朋友,4,5,47271,80,9色钻石珠光眼影盘,8,0.1692369528886632,Z世代(18-27),低消费,中收入,稳定,中频,低价值,其他,忠诚用户,其他
U153,25,男,有朋友,5,5,71006,200,9色钻石珠光眼影盘,8,0.2816663380559389,Z世代(18-27),高消费,高收入,稳定,中频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U154,25,女,有朋友,4,3,54741,100,9色钻石珠光眼影盘,8,0.1826784311576332,Z世代(18-27),中消费,中收入,稳定,中频,低价值,价值用户,忠诚用户,其他
U155,25,女,单身,6,4,60966,180,9色钻石珠光眼影盘,8,0.2952465308532624,Z世代(18-27),高消费,高收入,稳定,高频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U156,25,女,有朋友,6,5,65946,240,9色钻石珠光眼影盘,8,0.3639341279228459,Z世代(18-27),高消费,高收入,稳定,高频,高价值,高价值用户,忠诚用户,高收入美妆爱好者
U161,27,女,单身,4,3,78396,100,9色钻石珠光眼影盘,8,0.1275575284453288,Z世代(18-27),中消费,高收入,稳定,中频,低价值,其他,忠诚用户,高收入美妆爱好者
U163,28,男,有朋友,6,5,102131,180,9色钻石珠光眼影盘,8,0.1762442353448022,千禧一代(28-38),高消费,高收入,稳定,高频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U164,28,女,有朋友,7,5,67191,180,9色钻石珠光眼影盘,8,0.2678930213867929,千禧一代(28-38),高消费,高收入,稳定,高频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U165,28,女,单身,6,5,78396,150,9色钻石珠光眼影盘,8,0.1913362926679932,千禧一代(28-38),高消费,高收入,稳定,高频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U166,29,女,单身,5,5,42290,180,9色钻石珠光眼影盘,8,0.425632537242847,千禧一代(28-38),高消费,低收入,稳定,中频,中价值,价格敏感,忠诚用户,其他
U169,30,女,单身,5,4,93336,160,9色钻石珠光眼影盘,8,0.1714236736093254,千禧一代(28-38),高消费,高收入,稳定,中频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U170,30,女,有朋友,5,5,89601,150,9色钻石珠光眼影盘,8,0.1674088458834164,千禧一代(28-38),高消费,高收入,稳定,中频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U172,33,男,有朋友,4,5,105866,200,9色钻石珠光眼影盘,8,0.188918066234674,千禧一代(28-38),高消费,高收入,稳定,中频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U175,38,女,有朋友,5,5,94581,150,9色钻石珠光眼影盘,8,0.158594220826593,千禧一代(28-38),高消费,高收入,稳定,中频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U177,42,女,单身,5,4,79641,200,9色钻石珠光眼影盘,8,0.2511269321078339,成熟用户(39+),高消费,高收入,稳定,中频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U179,47,女,有朋友,4,5,94581,120,9色钻石珠光眼影盘,8,0.1268753766612744,成熟用户(39+),高消费,高收入,稳定,中频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U180,48,女,单身,4,5,85508,180,9色钻石珠光眼影盘,8,0.2105066192636946,成熟用户(39+),高消费,高收入,稳定,中频,中价值,高价值用户,忠诚用户,高收入美妆爱好者
U157,25,女,有朋友,4,5,64701,170,9色钻石珠光眼影盘,10,0.2627470981901361,Z世代(18-27),高消费,高收入,老用户,中频,中价值,高价值用户,老用户,高收入美妆爱好者
U158,26,男,单身,4,3,79721,100,9色钻石珠光眼影盘,11,0.1254374631527452,Z世代(18-27),中消费,高收入,老用户,中频,低价值,其他,老用户,高收入美妆爱好者
U162,27,女,有朋友,4,4,80886,100,9色钻石珠光眼影盘,11,0.1236307890116954,Z世代(18-27),中消费,高收入,老用户,中频,低价值,其他,老用户,高收入美妆爱好者
U176,40,女,单身,6,5,73416,200,9色钻石珠光眼影盘,11,0.2724201808870001,成熟用户(39+),高消费,高收入,老用户,高频,中价值,高价值用户,老用户,高收入美妆爱好者
