用户码,R值,F值,M值,R值层级,F值层级,M值层级,总分,总体价值
14681,70,7,498.95,2,0,0,2,低价值
14682,187,2,52.0,1,0,0,1,低价值
14684,25,421,1236.28,2,1,0,3,中价值
14687,106,15,628.38,1,0,0,1,低价值
14688,7,330,18859.37,2,1,2,5,高价值
14689,208,13,112.8,1,0,0,1,低价值
14690,43,50,371.7,2,0,0,2,低价值
14691,30,71,2114.33,2,0,0,2,低价值
14692,136,68,591.55,1,0,0,1,低价值
14693,263,8,172.9,0,0,0,0,低价值
14696,3,130,2078.95,2,0,0,2,低价值
14697,217,22,188.60999999999999,1,0,0,1,低价值
14698,1,210,1250.76,2,1,0,3,中价值
14699,213,8,109.13000000000001,1,0,0,1,低价值
14700,31,115,2235.3,2,0,0,2,低价值
14701,9,335,2549.37,2,1,1,4,中价值
14702,0,347,3292.14,2,1,1,4,中价值
14703,14,22,318.17,2,0,0,2,低价值
14704,10,415,1546.91,2,1,0,3,中价值
14705,197,1,179.0,1,0,0,1,低价值
14708,2,28,1126.37,2,0,0,2,低价值
14709,14,196,4921.04,2,1,1,4,中价值
14710,13,139,606.13,2,1,0,3,中价值
14711,9,357,2868.8,2,1,1,4,中价值
14712,28,25,917.07,2,0,0,2,低价值
14713,8,339,2666.36,2,1,1,4,中价值
14714,23,10,160.19,2,0,0,2,低价值
14715,24,71,867.38,2,0,0,2,低价值
14716,42,55,329.68,2,0,0,2,低价值
14719,0,237,1602.13,2,1,0,3,中价值
14720,5,37,663.81,2,0,0,2,低价值
14722,146,29,187.92000000000002,1,0,0,1,低价值
14723,9,278,1158.3,2,1,0,3,中价值
14725,23,52,718.08,2,0,0,2,低价值
14727,273,10,268.58,0,0,0,0,低价值
14729,372,71,313.49,0,0,0,0,低价值
14730,0,501,2005.06,2,2,0,4,中价值
14731,46,45,380.02,2,0,0,2,低价值
14732,7,147,2702.4900000000002,2,1,1,4,中价值
14733,15,202,9585.91,2,1,2,5,高价值
14735,3,194,6065.69,2,1,1,4,中价值
14737,3,17,1164.55,2,0,0,2,低价值
14738,42,54,1314.45,2,0,0,2,低价值
14739,3,60,3902.28,2,0,1,3,中价值
14740,196,89,1448.21,1,0,0,1,低价值
14741,11,59,1400.34,2,0,0,2,低价值
14744,15,26,1099.98,2,0,0,2,低价值
14745,112,69,1220.26,1,0,0,1,低价值
14747,248,18,328.2,0,0,0,0,低价值
14748,28,89,1415.75,2,0,0,2,低价值
14752,43,5,389.64,2,0,0,2,低价值
14753,86,30,563.15,2,0,0,2,低价值
14754,44,41,638.05,2,0,0,2,低价值
14755,9,235,5010.28,2,1,1,4,中价值
14756,14,38,738.96,2,0,0,2,低价值
14757,74,19,420.5,2,0,0,2,低价值
14758,144,71,1484.06,1,0,0,1,低价值
14759,4,102,1625.97,2,0,0,2,低价值
14760,296,5,89.2,0,0,0,0,低价值
14761,58,11,255.9,2,0,0,2,低价值
14762,263,21,300.52,0,0,0,0,低价值
14764,46,6,278.3,2,0,0,2,低价值
14765,28,39,254.11,2,0,0,2,低价值
14766,7,135,2473.37,2,0,1,3,中价值
14768,16,5,192.60000000000002,2,0,0,2,低价值
14769,2,1090,10674.75,2,2,2,6,高价值
14770,231,52,876.42,0,0,0,0,低价值
14772,111,9,139.26,1,0,0,1,低价值
14775,57,60,1011.9,2,0,0,2,低价值
14776,50,117,2538.3,2,0,1,3,中价值
14778,126,35,730.86,1,0,0,1,低价值
14779,279,41,386.15,0,0,0,0,低价值
14780,53,27,447.68,2,0,0,2,低价值
14782,319,6,200.10000000000002,0,0,0,0,低价值
14784,25,15,289.99,2,0,0,2,低价值
14785,9,3,77.4,2,0,0,2,低价值
14788,6,30,679.4399999999999,2,0,0,2,低价值
14789,28,6,197.64,2,0,0,2,低价值
14790,16,46,745.06,2,0,0,2,低价值
14792,63,2,6.2,2,0,0,2,低价值
14793,20,14,228.99,2,0,0,2,低价值
14794,2,80,1319.91,2,0,0,2,低价值
14795,165,6,131.45000000000002,1,0,0,1,低价值
14796,0,1141,8022.49,2,2,1,5,高价值
14798,52,12,173.74,2,0,0,2,低价值
14799,50,13,157.7,2,0,0,2,低价值
14800,46,385,4339.74,2,1,1,4,中价值
14801,60,59,193.14,2,0,0,2,低价值
14803,161,44,845.55,1,0,0,1,低价值
14804,8,12,353.27,2,0,0,2,低价值
14805,14,47,554.65,2,0,0,2,低价值
14806,74,11,193.39000000000001,2,0,0,2,低价值
14808,39,235,2741.17,2,1,1,4,中价值
14810,40,255,2087.88,2,1,0,3,中价值
14813,369,30,155.43,0,0,0,0,低价值
14815,36,53,778.5,2,0,0,2,低价值
14816,196,4,271.85,1,0,0,1,低价值
14817,199,63,1110.34,1,0,0,1,低价值
14818,73,48,657.8,2,0,0,2,低价值
14819,63,13,272.07,2,0,0,2,低价值
14820,20,29,507.29,2,0,0,2,低价值
14821,366,2,48.800000000000004,0,0,0,0,低价值
14823,179,70,321.43,1,0,0,1,低价值
14824,9,29,1127.71,2,0,0,2,低价值
14825,3,121,2226.91,2,0,0,2,低价值
14828,196,17,2139.76,1,0,0,1,低价值
14829,28,42,697.55,2,0,0,2,低价值
14830,52,40,197.13,2,0,0,2,低价值
14834,17,67,1720.3,2,0,0,2,低价值
14836,9,6,102.44999999999999,2,0,0,2,低价值
14837,89,108,1649.5,2,0,0,2,低价值
14840,267,4,62.85,0,0,0,0,低价值
14841,52,138,3295.76,2,1,1,4,中价值
14842,42,145,2824.69,2,1,1,4,中价值
14844,63,130,3189.81,2,0,1,3,中价值
14847,148,13,309.4,1,0,0,1,低价值
14849,21,388,7930.54,2,1,1,4,中价值
14850,311,21,325.75,0,0,0,0,低价值
14851,22,28,511.35,2,0,0,2,低价值
14852,57,143,2836.69,2,1,1,4,中价值
14853,23,9,475.8,2,0,0,2,低价值
14854,77,127,2759.83,2,0,1,3,中价值
14855,118,20,645.65,1,0,0,1,低价值
14856,35,66,1311.3799999999999,2,0,0,2,低价值
14857,59,60,1173.12,2,0,0,2,低价值
14859,12,58,1353.74,2,0,0,2,低价值
14860,18,11,170.32,2,0,0,2,低价值
14861,51,6,125.79,2,0,0,2,低价值
14862,25,48,841.1999999999999,2,0,0,2,低价值
14863,28,11,266.76,2,0,0,2,低价值
14865,6,4,52.2,2,0,0,2,低价值
14866,10,99,14389.9,2,0,2,4,中价值
14867,185,36,710.28,1,0,0,1,低价值
14868,2,144,2953.59,2,1,1,4,中价值
14869,7,71,725.7,2,0,0,2,低价值
14870,261,13,327.25,0,0,0,0,低价值
14871,2,98,522.38,2,0,0,2,低价值
14873,209,28,519.68,1,0,0,1,低价值
14875,107,47,1465.3200000000002,1,0,0,1,低价值
14878,12,124,1485.54,2,0,0,2,低价值
14880,76,47,706.19,2,0,0,2,低价值
14881,19,17,255.4,2,0,0,2,低价值
14882,25,11,589.7,2,0,0,2,低价值
14883,18,53,761.59,2,0,0,2,低价值
14885,131,15,765.3199999999999,1,0,0,1,低价值
14886,252,18,364.8,0,0,0,0,低价值
14887,78,6,1862.0,2,0,0,2,低价值
14888,206,20,369.2,1,0,0,1,低价值
14889,335,10,135.9,0,0,0,0,低价值
14890,253,7,125.65,0,0,0,0,低价值
14891,147,33,554.38,1,0,0,1,低价值
14893,9,73,1237.8500000000001,2,0,0,2,低价值
14894,84,23,655.75,2,0,0,2,低价值
14895,7,498,11138.710000000001,2,2,2,6,高价值
14896,204,43,468.77000000000004,1,0,0,1,低价值
14897,7,55,1366.38,2,0,0,2,低价值
14898,22,116,1303.52,2,0,0,2,低价值
14901,10,96,1421.29,2,0,0,2,低价值
14902,25,20,332.66,2,0,0,2,低价值
14903,20,355,2810.63,2,1,1,4,中价值
14904,1,69,1025.44,2,0,0,2,低价值
14905,156,17,616.15,1,0,0,1,低价值
14907,2,165,3501.1,2,1,1,4,中价值
14908,73,9,277.8,2,0,0,2,低价值
14910,2,30,434.35,2,0,0,2,低价值
14912,16,27,867.85,2,0,0,2,低价值
14913,35,87,1227.43,2,0,0,2,低价值
14915,90,12,307.48,2,0,0,2,低价值
14916,70,77,1268.98,2,0,0,2,低价值
14918,115,45,1610.15,1,0,0,1,低价值
14920,212,57,977.77,1,0,0,1,低价值
14921,29,78,1316.07,2,0,0,2,低价值
14923,50,44,749.1,2,0,0,2,低价值
14924,245,10,310.05,0,0,0,0,低价值
14929,31,11,223.88,2,0,0,2,低价值
14930,108,128,2372.86,1,0,0,1,低价值
14931,4,41,1257.68,2,0,0,2,低价值
14932,365,17,363.53,0,0,0,0,低价值
14934,81,87,1890.94,2,0,0,2,低价值
14935,296,10,1784.71,0,0,0,0,低价值
14936,33,364,8137.02,2,1,1,4,中价值
14937,56,34,1621.88,2,0,0,2,低价值
14944,29,170,5900.25,2,1,1,4,中价值
14946,13,3,100.9,2,0,0,2,低价值
14947,71,14,290.82,2,0,0,2,低价值
14948,22,63,1101.97,2,0,0,2,低价值
14950,18,19,371.2,2,0,0,2,低价值
14951,78,20,311.69,2,0,0,2,低价值
14952,59,138,8099.49,2,1,1,4,中价值
14953,24,55,289.82,2,0,0,2,低价值
14954,11,85,336.17,2,0,0,2,低价值
14957,252,12,58.49,0,0,0,0,低价值
14958,146,42,499.68,1,0,0,1,低价值
14959,63,59,695.42,2,0,0,2,低价值
14960,7,27,221.27,2,0,0,2,低价值
14961,10,312,7044.68,2,1,1,4,中价值
14962,270,5,126.7,0,0,0,0,低价值
14963,9,198,1487.8,2,1,0,3,中价值
14964,246,13,206.21,0,0,0,0,低价值
14965,95,83,599.0,1,0,0,1,低价值
14966,14,38,191.32,2,0,0,2,低价值
14967,49,6,463.8,2,0,0,2,低价值
14968,29,37,147.59,2,0,0,2,低价值
14970,67,34,1592.06,2,0,0,2,低价值
14971,34,160,1116.57,2,1,0,3,中价值
14972,127,18,114.77,1,0,0,1,低价值
14973,106,32,1314.45,1,0,0,1,低价值
14974,36,21,114.39,2,0,0,2,低价值
14975,56,11,279.94,2,0,0,2,低价值
14976,56,72,790.86,2,0,0,2,低价值
14978,71,216,1931.42,2,1,0,3,中价值
14981,245,8,102.12,0,0,0,0,低价值
14984,18,41,213.27,2,0,0,2,低价值
14985,197,87,296.75,1,0,0,1,低价值
14987,15,4,326.4,2,0,0,2,低价值
14988,211,40,334.54,1,0,0,1,低价值
14995,38,61,233.23000000000002,2,0,0,2,低价值
14997,45,26,546.1999999999999,2,0,0,2,低价值
14998,169,75,429.87,1,0,0,1,低价值
15000,47,77,490.52,2,0,0,2,低价值
15002,115,115,1641.76,1,0,0,1,低价值
15004,146,158,1246.32,1,1,0,2,低价值
15005,15,1119,6316.57,2,2,1,5,高价值
15006,50,144,502.09,2,1,0,3,中价值
15007,158,12,156.91,1,0,0,1,低价值
15009,11,182,1261.78,2,1,0,3,中价值
15010,34,20,308.94,2,0,0,2,低价值
15012,53,128,423.04,2,0,0,2,低价值
15014,42,35,260.17,2,0,0,2,低价值
15016,172,20,170.04,1,0,0,1,低价值
15017,33,20,125.58,2,0,0,2,低价值
15018,37,31,496.21000000000004,2,0,0,2,低价值
15019,265,70,266.0,0,0,0,0,低价值
15021,8,472,1914.82,2,1,0,3,中价值
15022,10,135,905.04,2,0,0,2,低价值
15023,2,562,6802.76,2,2,1,5,高价值
15024,9,155,1661.33,2,1,0,3,中价值
15025,32,72,377.01,2,0,0,2,低价值
15026,79,61,469.0,2,0,0,2,低价值
15027,30,35,1066.1499999999999,2,0,0,2,低价值
15028,7,48,627.13,2,0,0,2,低价值
15030,71,7,518.28,2,0,0,2,低价值
15031,3,111,668.14,2,0,0,2,低价值
15032,255,52,4959.1,0,0,1,1,低价值
15033,3,510,2586.67,2,2,1,5,高价值
15034,15,394,4308.61,2,1,1,4,中价值
15035,89,27,252.73000000000002,2,0,0,2,低价值
15036,71,127,465.55,2,0,0,2,低价值
15038,58,130,705.49,2,0,0,2,低价值
15039,9,1502,19914.44,2,2,2,6,高价值
15041,169,67,180.35,1,0,0,1,低价值
15042,198,5,135.93,1,0,0,1,低价值
15043,30,3,537.0,2,0,0,2,低价值
15044,18,453,7700.2300000000005,2,1,1,4,中价值
15045,151,12,735.66,1,0,0,1,低价值
15046,8,206,5213.7699999999995,2,1,1,4,中价值
15047,269,22,343.62,0,0,0,0,低价值
15048,64,97,384.05,2,0,0,2,低价值
15049,273,3,121.17000000000002,0,0,0,0,低价值
15050,24,78,1782.09,2,0,0,2,低价值
15051,22,143,1391.61,2,1,0,3,中价值
15052,318,30,215.78,0,0,0,0,低价值
15053,4,71,697.79,2,0,0,2,低价值
15054,11,114,302.1,2,0,0,2,低价值
15057,274,25,1489.5,0,0,0,0,低价值
15058,24,276,2124.9900000000002,2,1,0,3,中价值
15059,40,237,1337.72,2,1,0,3,中价值
15060,7,121,303.09,2,0,0,2,低价值
15061,3,403,54534.14,2,1,3,6,高价值
15062,70,57,987.86,2,0,0,2,低价值
15063,212,5,370.79999999999995,1,0,0,1,低价值
15065,37,155,3158.13,2,1,1,4,中价值
15066,52,42,893.59,2,0,0,2,低价值
15067,77,82,1744.76,2,0,0,2,低价值
15068,45,104,553.36,2,0,0,2,低价值
15069,178,70,1109.53,1,0,0,1,低价值
15070,372,1,106.2,0,0,0,0,低价值
15071,93,26,982.07,2,0,0,2,低价值
15073,9,54,1043.41,2,0,0,2,低价值
15074,104,42,748.87,1,0,0,1,低价值
15075,77,27,773.03,2,0,0,2,低价值
15076,172,49,880.85,1,0,0,1,低价值
15078,6,440,9743.11,2,1,2,5,高价值
15079,211,47,895.61,1,0,0,1,低价值
15081,21,33,504.8,2,0,0,2,低价值
15083,256,5,88.2,0,0,0,0,低价值
15087,281,15,306.94,0,0,0,0,低价值
15088,20,57,1160.07,2,0,0,2,低价值
15089,9,145,2420.84,2,1,0,3,中价值
15090,307,23,381.32,0,0,0,0,低价值
15091,66,30,480.71,2,0,0,2,低价值
15092,214,26,457.81,1,0,0,1,低价值
15093,17,108,4597.02,2,0,1,3,中价值
15095,103,47,1370.6,1,0,0,1,低价值
15096,42,11,219.39000000000001,2,0,0,2,低价值
15097,3,25,248.08,2,0,0,2,低价值
15098,181,3,39916.5,1,0,3,4,中价值
15099,83,23,410.48,2,0,0,2,低价值
15100,333,4,1226.3999999999999,0,0,0,0,低价值
15101,8,8,317.53,2,0,0,2,低价值
15103,30,35,703.36,2,0,0,2,低价值
15104,196,69,1027.44,1,0,0,1,低价值
15105,17,101,2298.93,2,0,0,2,低价值
15106,17,100,1422.52,2,0,0,2,低价值
15107,310,17,319.5,0,0,0,0,低价值
15108,141,60,1300.25,1,0,0,1,低价值
15109,245,28,484.95,0,0,0,0,低价值
15110,23,35,996.1,2,0,0,2,低价值
15111,28,84,1567.48,2,0,0,2,低价值
15113,9,100,3609.33,2,0,1,3,中价值
15114,29,197,2760.56,2,1,1,4,中价值
15115,17,21,340.11,2,0,0,2,低价值
15116,17,45,1352.75,2,0,0,2,低价值
15117,14,79,1551.78,2,0,0,2,低价值
15118,133,1,244.8,1,0,0,1,低价值
15119,245,14,266.4,0,0,0,0,低价值
15120,133,21,358.82,1,0,0,1,低价值
15121,49,28,457.72,2,0,0,2,低价值
15122,113,82,1633.78,1,0,0,1,低价值
15123,6,106,2199.31,2,0,0,2,低价值
15124,22,15,184.19,2,0,0,2,低价值
15125,24,127,11528.48,2,0,2,4,中价值
15127,65,16,406.53,2,0,0,2,低价值
15128,59,102,1471.0,2,0,0,2,低价值
15129,49,84,3447.4,2,0,1,3,中价值
15130,169,22,330.11,1,0,0,1,低价值
15132,17,52,977.9300000000001,2,0,0,2,低价值
15133,127,29,982.42,1,0,0,1,低价值
15134,14,73,1387.99,2,0,0,2,低价值
15135,238,9,139.05,0,0,0,0,低价值
15136,2,68,1286.7,2,0,0,2,低价值
15139,239,13,178.96,0,0,0,0,低价值
15140,51,80,2354.25,2,0,0,2,低价值
15142,45,26,498.74,2,0,0,2,低价值
15143,225,14,259.45,1,0,0,1,低价值
15144,7,217,6580.44,2,1,1,4,中价值
15145,3,67,1194.73,2,0,0,2,低价值
15146,164,91,1327.16,1,0,0,1,低价值
15147,239,28,623.5,0,0,0,0,低价值
15148,10,20,301.29,2,0,0,2,低价值
15149,133,23,520.8000000000001,1,0,0,1,低价值
15150,16,343,5314.47,2,1,1,4,中价值
15152,8,271,4745.69,2,1,1,4,中价值
15153,30,22,329.25,2,0,0,2,低价值
15154,74,85,296.42,2,0,0,2,低价值
15156,0,55,961.49,2,0,0,2,低价值
15157,3,125,1936.07,2,0,0,2,低价值
15158,44,7,401.40000000000003,2,0,0,2,低价值
15159,1,710,18641.010000000002,2,2,2,6,高价值
15160,356,4,158.16,0,0,0,0,低价值
15163,17,29,304.47,2,0,0,2,低价值
15164,68,103,843.05,2,0,0,2,低价值
15165,372,27,487.75,0,0,0,0,低价值
15167,319,41,163.0,0,0,0,0,低价值
15168,25,5,106.56,2,0,0,2,低价值
15171,330,5,1289.5,0,0,0,0,低价值
15172,8,110,1624.05,2,0,0,2,低价值
15174,322,11,135.75,0,0,0,0,低价值
15175,71,23,224.14,2,0,0,2,低价值
15178,259,3,40.5,0,0,0,0,低价值
15179,17,93,2206.95,2,0,0,2,低价值
15180,366,6,87.5,0,0,0,0,低价值
15181,65,16,689.4799999999999,2,0,0,2,低价值
15182,153,29,622.85,1,0,0,1,低价值
15184,28,63,406.76,2,0,0,2,低价值
15185,69,21,310.62,2,0,0,2,低价值
15186,13,19,411.41,2,0,0,2,低价值
15187,1,91,4777.18,2,0,1,3,中价值
15189,0,212,16225.39,2,1,2,5,高价值
15192,119,51,1044.32,1,0,0,1,低价值
15193,60,19,499.32,2,0,0,2,低价值
15194,2,310,7616.53,2,1,1,4,中价值
15195,2,1,3861.0,2,0,1,3,中价值
15197,10,32,1079.6100000000001,2,0,0,2,低价值
15198,91,10,193.64,2,0,0,2,低价值
15199,58,13,1268.7,2,0,0,2,低价值
15201,86,69,1236.54,2,0,0,2,低价值
15203,25,142,1827.8,2,1,0,3,中价值
15204,356,9,316.58,0,0,0,0,低价值
15205,84,37,653.24,2,0,0,2,低价值
15206,9,9,420.29999999999995,2,0,0,2,低价值
15208,0,42,870.12,2,0,0,2,低价值
15210,224,20,331.18,1,0,0,1,低价值
15211,59,52,894.4100000000001,2,0,0,2,低价值
15212,240,5,101.8,0,0,0,0,低价值
15213,318,24,328.35,0,0,0,0,低价值
15214,1,110,1661.44,2,0,0,2,低价值
15215,46,35,734.94,2,0,0,2,低价值
15216,87,2,96.6,2,0,0,2,低价值
15218,10,166,5756.89,2,1,1,4,中价值
15219,175,9,305.75,1,0,0,1,低价值
15220,50,117,1778.96,2,0,0,2,低价值
15221,365,5,403.25,0,0,0,0,低价值
15222,318,5,585.0,0,0,0,0,低价值
15223,225,20,755.75,1,0,0,1,低价值
15224,357,14,322.08,0,0,0,0,低价值
15225,233,23,409.40000000000003,0,0,0,0,低价值
15226,310,8,154.41,0,0,0,0,低价值
15227,36,58,1219.4,2,0,0,2,低价值
15228,65,125,3386.71,2,0,1,3,中价值
15230,238,23,429.6,0,0,0,0,低价值
15232,112,31,612.06,1,0,0,1,低价值
15234,276,14,197.0,0,0,0,0,低价值
15235,217,143,2247.51,1,1,0,2,低价值
15236,298,15,321.05,0,0,0,0,低价值
15237,1,99,1412.32,2,0,0,2,低价值
15238,28,50,1071.99,2,0,0,2,低价值
15239,9,49,780.59,2,0,0,2,低价值
15240,44,78,1706.57,2,0,0,2,低价值
15241,66,110,1756.44,2,0,0,2,低价值
15243,73,22,316.68,2,0,0,2,低价值
15244,64,34,631.57,2,0,0,2,低价值
15245,133,89,2515.84,1,0,1,2,低价值
15246,237,33,514.15,0,0,0,0,低价值
15247,121,6,356.0,1,0,0,1,低价值
15249,31,350,6688.46,2,1,1,4,中价值
15251,8,111,10484.99,2,0,2,4,中价值
15252,35,44,740.78,2,0,0,2,低价值
15253,15,53,918.1999999999999,2,0,0,2,低价值
15254,126,18,300.36,1,0,0,1,低价值
15255,65,47,890.85,2,0,0,2,低价值
15256,148,6,98.45,1,0,0,1,低价值
15257,282,7,317.15,0,0,0,0,低价值
15258,168,34,623.16,1,0,0,1,低价值
15260,99,77,1810.77,1,0,0,1,低价值
15261,134,19,254.82,1,0,0,1,低价值
15262,323,10,178.95000000000002,0,0,0,0,低价值
15263,106,12,156.51,1,0,0,1,低价值
15264,63,23,393.74,2,0,0,2,低价值
15265,150,82,1506.1200000000001,1,0,0,1,低价值
15266,337,6,119.3,0,0,0,0,低价值
15267,21,11,1717.36,2,0,0,2,低价值
15269,23,2,408.8,2,0,0,2,低价值
15270,15,41,2379.49,2,0,0,2,低价值
15271,6,274,2507.07,2,1,1,4,中价值
15272,56,63,721.94,2,0,0,2,低价值
15274,3,47,716.57,2,0,0,2,低价值
15275,37,41,615.14,2,0,0,2,低价值
15276,65,52,135.31,2,0,0,2,低价值
15277,46,12,255.89999999999998,2,0,0,2,低价值
15279,354,19,290.51,0,0,0,0,低价值
15280,171,16,113.12,1,0,0,1,低价值
15281,58,139,2332.15,2,1,0,3,中价值
15286,49,3,240.55,2,0,0,2,低价值
15287,21,20,486.69,2,0,0,2,低价值
15288,42,88,2306.52,2,0,0,2,低价值
15289,28,58,939.78,2,0,0,2,低价值
15290,4,204,7943.22,2,1,1,4,中价值
15291,25,105,20261.100000000002,2,0,2,4,中价值
15292,200,25,180.94,1,0,0,1,低价值
15296,50,194,3672.86,2,1,1,4,中价值
15297,9,39,641.94,2,0,0,2,低价值
15298,1,192,4799.9,2,1,1,4,中价值
15299,66,7,4507.01,2,0,1,3,中价值
15300,63,28,496.44,2,0,0,2,低价值
15301,50,243,5070.35,2,1,1,4,中价值
15303,289,31,574.02,0,0,0,0,低价值
15304,60,23,694.4000000000001,2,0,0,2,低价值
15306,63,58,1174.35,2,0,0,2,低价值
15307,95,12,205.3,1,0,0,1,低价值
15308,273,19,310.47,0,0,0,0,低价值
15311,0,2379,60767.9,2,3,3,8,高价值
15312,74,47,924.85,2,0,0,2,低价值
15313,109,1,52.0,1,0,0,1,低价值
15314,198,24,327.97,1,0,0,1,低价值
15315,63,37,570.5,2,0,0,2,低价值
15316,326,1,165.0,0,0,0,0,低价值
15318,3,33,312.62,2,0,0,2,低价值
15319,282,16,204.5,0,0,0,0,低价值
15320,43,36,267.13,2,0,0,2,低价值
15321,70,95,2748.31,2,0,1,3,中价值
15322,85,42,679.68,2,0,0,2,低价值
15325,103,49,162.29,1,0,0,1,低价值
15326,333,29,311.71,0,0,0,0,低价值
15327,52,10,208.75,2,0,0,2,低价值
15329,38,57,1049.7,2,0,0,2,低价值
15330,31,13,714.96,2,0,0,2,低价值
15332,365,35,1661.06,0,0,0,0,低价值
15333,207,16,1028.56,1,0,0,1,低价值
15334,156,99,351.67,1,0,0,1,低价值
15335,52,36,173.97,2,0,0,2,低价值
15339,65,86,574.07,2,0,0,2,低价值
15341,80,17,2020.52,2,0,0,2,低价值
15342,129,24,406.09,1,0,0,1,低价值
15343,86,21,364.5,2,0,0,2,低价值
15344,0,26,563.94,2,0,0,2,低价值
15345,45,20,393.54,2,0,0,2,低价值
15346,332,17,252.42000000000002,0,0,0,0,低价值
15347,365,5,201.60000000000002,0,0,0,0,低价值
15348,71,9,158.04,2,0,0,2,低价值
15349,157,72,473.81,1,0,0,1,低价值
